year,quarter,country_state_level,location,transaction_count,transaction_amount
2020,2,country,india,185348,33732166
2020,3,country,india,354284,89495076
2020,4,country,india,248626,170979933
2021,1,country,india,318119,206307024
2021,2,country,india,363989,295066678
2021,3,country,india,374867,342403352
2021,4,country,india,526327,655431877
2022,1,country,india,617606,887447241
2022,2,country,india,630758,857034846
2022,3,country,india,806491,1054717869
2022,4,country,india,1035364,1439762739
2023,1,country,india,923173,1408801224
2023,2,country,india,893850,1347399873
2023,3,country,india,1010211,1445234680
2023,4,country,india,1159063,1855299766
2024,1,country,india,1273789,1931955654
2024,2,country,india,1105041,1759627894
2024,3,country,india,1213629,1941265641
2024,4,country,india,1475429,2293956286
2020,2,state,andaman-&-nicobar-islands,6,1360
2020,3,state,andaman-&-nicobar-islands,41,15380
2020,4,state,andaman-&-nicobar-islands,124,157975
2021,1,state,andaman-&-nicobar-islands,225,244266
2021,2,state,andaman-&-nicobar-islands,137,181504
2021,3,state,andaman-&-nicobar-islands,230,305235
2021,4,state,andaman-&-nicobar-islands,757,1056380
2022,1,state,andaman-&-nicobar-islands,768,1131287
2022,2,state,andaman-&-nicobar-islands,501,779740
2022,3,state,andaman-&-nicobar-islands,643,902466
2022,4,state,andaman-&-nicobar-islands,901,1441210
2023,1,state,andaman-&-nicobar-islands,1004,1439198
2023,2,state,andaman-&-nicobar-islands,768,1233395
2023,3,state,andaman-&-nicobar-islands,795,1251145
2023,4,state,andaman-&-nicobar-islands,1145,1757821
2024,1,state,andaman-&-nicobar-islands,1371,1964556
2024,2,state,andaman-&-nicobar-islands,1097,1744694
2024,3,state,andaman-&-nicobar-islands,1191,1752800
2024,4,state,andaman-&-nicobar-islands,1293,2026380
2020,2,state,andhra-pradesh,22104,3982391
2020,3,state,andhra-pradesh,49812,12426481
2020,4,state,andhra-pradesh,21464,12985632
2021,1,state,andhra-pradesh,22105,12749874
2021,2,state,andhra-pradesh,33205,22730687
2021,3,state,andhra-pradesh,23075,19914338
2021,4,state,andhra-pradesh,25423,31610335
2022,1,state,andhra-pradesh,29954,42648157
2022,2,state,andhra-pradesh,32185,41708072
2022,3,state,andhra-pradesh,39301,48791931
2022,4,state,andhra-pradesh,44329,58043239
2023,1,state,andhra-pradesh,34920,51963355
2023,2,state,andhra-pradesh,36376,52067478
2023,3,state,andhra-pradesh,43150,57802396
2023,4,state,andhra-pradesh,41798,62342423
2024,1,state,andhra-pradesh,46582,63563802
2024,2,state,andhra-pradesh,42547,62948281
2024,3,state,andhra-pradesh,48014,73915199
2024,4,state,andhra-pradesh,61425,80028914
2020,2,state,arunachal-pradesh,65,14329
2020,3,state,arunachal-pradesh,135,39687
2020,4,state,arunachal-pradesh,125,84247
2021,1,state,arunachal-pradesh,194,131611
2021,2,state,arunachal-pradesh,204,224928
2021,3,state,arunachal-pradesh,212,371051
2021,4,state,arunachal-pradesh,320,598459
2022,1,state,arunachal-pradesh,355,894107
2022,2,state,arunachal-pradesh,564,1360231
2022,3,state,arunachal-pradesh,510,1300304
2022,4,state,arunachal-pradesh,613,1464572
2023,1,state,arunachal-pradesh,606,1747475
2023,2,state,arunachal-pradesh,696,2095988
2023,3,state,arunachal-pradesh,718,1904786
2023,4,state,arunachal-pradesh,809,2105408
2024,1,state,arunachal-pradesh,1100,2419700
2024,2,state,arunachal-pradesh,1147,2353015
2024,3,state,arunachal-pradesh,842,1951385
2024,4,state,arunachal-pradesh,999,2359472
2020,2,state,assam,978,210034
2020,3,state,assam,2206,599450
2020,4,state,assam,2413,1806801
2021,1,state,assam,3167,2334419
2021,2,state,assam,3265,3008122
2021,3,state,assam,4495,6010865
2021,4,state,assam,8622,13962068
2022,1,state,assam,16230,27447766
2022,2,state,assam,9228,15357811
2022,3,state,assam,14149,22543564
2022,4,state,assam,18826,29239168
2023,1,state,assam,22100,36963888
2023,2,state,assam,16475,28368139
2023,3,state,assam,22593,35618158
2023,4,state,assam,23168,38731734
2024,1,state,assam,33097,48107248
2024,2,state,assam,22368,34796603
2024,3,state,assam,17633,31388971
2024,4,state,assam,21805,35336229
2020,2,state,bihar,2816,595621
2020,3,state,bihar,9733,2161102
2020,4,state,bihar,9913,7860932
2021,1,state,bihar,12554,8796619
2021,2,state,bihar,14301,13301581
2021,3,state,bihar,18030,18234941
2021,4,state,bihar,22456,27313813
2022,1,state,bihar,20253,27755736
2022,2,state,bihar,21892,28212833
2022,3,state,bihar,28511,34704251
2022,4,state,bihar,33895,43914519
2023,1,state,bihar,26929,38746711
2023,2,state,bihar,29212,40354886
2023,3,state,bihar,36550,45832355
2023,4,state,bihar,41447,57624322
2024,1,state,bihar,51592,63844442
2024,2,state,bihar,49101,65285065
2024,3,state,bihar,44745,62777286
2024,4,state,bihar,62662,83739800
2020,2,state,chandigarh,149,29537
2020,3,state,chandigarh,264,70969
2020,4,state,chandigarh,200,153341
2021,1,state,chandigarh,338,238576
2021,2,state,chandigarh,378,310943
2021,3,state,chandigarh,494,469634
2021,4,state,chandigarh,710,835813
2022,1,state,chandigarh,792,1150932
2022,2,state,chandigarh,1330,1874959
2022,3,state,chandigarh,1533,1998439
2022,4,state,chandigarh,1403,2024528
2023,1,state,chandigarh,1520,2415574
2023,2,state,chandigarh,1704,2501107
2023,3,state,chandigarh,1883,2660630
2023,4,state,chandigarh,1767,3053934
2024,1,state,chandigarh,1730,3143984
2024,2,state,chandigarh,1798,3177315
2024,3,state,chandigarh,1991,3445738
2024,4,state,chandigarh,2095,3729932
2020,2,state,chhattisgarh,1346,279005
2020,3,state,chhattisgarh,4702,1393656
2020,4,state,chhattisgarh,3757,2249901
2021,1,state,chhattisgarh,4712,2620468
2021,2,state,chhattisgarh,5055,3813417
2021,3,state,chhattisgarh,4676,3568837
2021,4,state,chhattisgarh,6029,8229039
2022,1,state,chhattisgarh,6612,10139190
2022,2,state,chhattisgarh,7008,10119964
2022,3,state,chhattisgarh,8849,12119470
2022,4,state,chhattisgarh,11994,18137856
2023,1,state,chhattisgarh,10460,16577191
2023,2,state,chhattisgarh,10514,16389610
2023,3,state,chhattisgarh,11927,17838382
2023,4,state,chhattisgarh,17300,29704673
2024,1,state,chhattisgarh,19579,30083259
2024,2,state,chhattisgarh,15724,25935743
2024,3,state,chhattisgarh,16550,27724060
2024,4,state,chhattisgarh,22723,37421165
2020,2,state,dadra-&-nagar-haveli-&-daman-&-diu,651,101029
2020,3,state,dadra-&-nagar-haveli-&-daman-&-diu,257,65504
2020,4,state,dadra-&-nagar-haveli-&-daman-&-diu,232,149513
2021,1,state,dadra-&-nagar-haveli-&-daman-&-diu,467,285691
2021,2,state,dadra-&-nagar-haveli-&-daman-&-diu,368,275638
2021,3,state,dadra-&-nagar-haveli-&-daman-&-diu,360,273596
2021,4,state,dadra-&-nagar-haveli-&-daman-&-diu,421,425384
2022,1,state,dadra-&-nagar-haveli-&-daman-&-diu,493,720741
2022,2,state,dadra-&-nagar-haveli-&-daman-&-diu,438,686857
2022,3,state,dadra-&-nagar-haveli-&-daman-&-diu,707,983776
2022,4,state,dadra-&-nagar-haveli-&-daman-&-diu,871,1272628
2023,1,state,dadra-&-nagar-haveli-&-daman-&-diu,799,1215168
2023,2,state,dadra-&-nagar-haveli-&-daman-&-diu,694,1058753
2023,3,state,dadra-&-nagar-haveli-&-daman-&-diu,969,1333103
2023,4,state,dadra-&-nagar-haveli-&-daman-&-diu,1207,1973867
2024,1,state,dadra-&-nagar-haveli-&-daman-&-diu,1295,1908509
2024,2,state,dadra-&-nagar-haveli-&-daman-&-diu,1008,1367259
2024,3,state,dadra-&-nagar-haveli-&-daman-&-diu,1052,1602869
2024,4,state,dadra-&-nagar-haveli-&-daman-&-diu,1503,2292529
2020,2,state,delhi,11716,1897480
2020,3,state,delhi,7588,1927285
2020,4,state,delhi,9725,8045442
2021,1,state,delhi,12822,9655261
2021,2,state,delhi,13292,10840929
2021,3,state,delhi,16679,15007079
2021,4,state,delhi,34251,36578331
2022,1,state,delhi,28232,35442069
2022,2,state,delhi,26378,31787281
2022,3,state,delhi,35944,41570160
2022,4,state,delhi,48908,60603173
2023,1,state,delhi,45821,61040038
2023,2,state,delhi,41358,54951108
2023,3,state,delhi,47113,58878500
2023,4,state,delhi,56336,77332401
2024,1,state,delhi,53050,76232346
2024,2,state,delhi,46189,68046072
2024,3,state,delhi,49150,71139489
2024,4,state,delhi,67962,94390728
2020,2,state,goa,341,71100
2020,3,state,goa,683,196864
2020,4,state,goa,614,682364
2021,1,state,goa,879,827384
2021,2,state,goa,1016,1028339
2021,3,state,goa,1214,1385986
2021,4,state,goa,2087,2737316
2022,1,state,goa,2634,3865245
2022,2,state,goa,3524,5093510
2022,3,state,goa,3157,4142108
2022,4,state,goa,4388,6190669
2023,1,state,goa,4097,5859549
2023,2,state,goa,4166,5930801
2023,3,state,goa,3927,5646054
2023,4,state,goa,4883,7411001
2024,1,state,goa,5225,7528093
2024,2,state,goa,5021,7178558
2024,3,state,goa,5354,8051690
2024,4,state,goa,6662,9903374
2020,2,state,gujarat,7697,1430591
2020,3,state,gujarat,12525,3335812
2020,4,state,gujarat,9990,6055037
2021,1,state,gujarat,12673,7288104
2021,2,state,gujarat,14676,10263998
2021,3,state,gujarat,15348,12341903
2021,4,state,gujarat,19142,23282921
2022,1,state,gujarat,22221,29953433
2022,2,state,gujarat,25381,32090965
2022,3,state,gujarat,31302,37557227
2022,4,state,gujarat,36418,50629325
2023,1,state,gujarat,32600,46937694
2023,2,state,gujarat,32484,46254095
2023,3,state,gujarat,51049,65768085
2023,4,state,gujarat,41128,66735446
2024,1,state,gujarat,44665,62633910
2024,2,state,gujarat,44007,63866463
2024,3,state,gujarat,46763,70950327
2024,4,state,gujarat,62526,91858105
2020,2,state,haryana,6321,1179814
2020,3,state,haryana,7139,1884868
2020,4,state,haryana,8283,5974278
2021,1,state,haryana,11038,7297880
2021,2,state,haryana,12516,11272453
2021,3,state,haryana,14163,13215898
2021,4,state,haryana,19489,25885838
2022,1,state,haryana,22783,32526943
2022,2,state,haryana,25352,33759068
2022,3,state,haryana,35346,45402800
2022,4,state,haryana,37971,56627115
2023,1,state,haryana,37287,61127194
2023,2,state,haryana,40710,62186066
2023,3,state,haryana,42815,61782311
2023,4,state,haryana,47506,80747159
2024,1,state,haryana,50391,81816509
2024,2,state,haryana,46085,74779879
2024,3,state,haryana,49735,79198642
2024,4,state,haryana,58808,94316512
2020,2,state,himachal-pradesh,392,77936
2020,3,state,himachal-pradesh,531,165559
2020,4,state,himachal-pradesh,710,630966
2021,1,state,himachal-pradesh,1064,906492
2021,2,state,himachal-pradesh,1210,1402338
2021,3,state,himachal-pradesh,1759,2444545
2021,4,state,himachal-pradesh,2474,4667661
2022,1,state,himachal-pradesh,2768,5234739
2022,2,state,himachal-pradesh,2831,5371078
2022,3,state,himachal-pradesh,3641,6161692
2022,4,state,himachal-pradesh,4565,9060436
2023,1,state,himachal-pradesh,3909,7826133
2023,2,state,himachal-pradesh,4197,8499425
2023,3,state,himachal-pradesh,3935,7869767
2023,4,state,himachal-pradesh,5211,11898824
2024,1,state,himachal-pradesh,5430,10433254
2024,2,state,himachal-pradesh,5194,10008705
2024,3,state,himachal-pradesh,5272,10538999
2024,4,state,himachal-pradesh,6697,14090523
2020,2,state,jammu-&-kashmir,206,48484
2020,3,state,jammu-&-kashmir,441,133339
2020,4,state,jammu-&-kashmir,647,734861
2021,1,state,jammu-&-kashmir,1105,1546288
2021,2,state,jammu-&-kashmir,1197,1832089
2021,3,state,jammu-&-kashmir,1452,2139133
2021,4,state,jammu-&-kashmir,3113,5223317
2022,1,state,jammu-&-kashmir,3584,7244267
2022,2,state,jammu-&-kashmir,4071,7729792
2022,3,state,jammu-&-kashmir,4794,8281826
2022,4,state,jammu-&-kashmir,5031,10111183
2023,1,state,jammu-&-kashmir,4555,10275877
2023,2,state,jammu-&-kashmir,5262,10974839
2023,3,state,jammu-&-kashmir,5453,10975874
2023,4,state,jammu-&-kashmir,6264,13932309
2024,1,state,jammu-&-kashmir,7313,14695182
2024,2,state,jammu-&-kashmir,7397,14237707
2024,3,state,jammu-&-kashmir,7597,15554635
2024,4,state,jammu-&-kashmir,8893,18252110
2020,2,state,jharkhand,2063,405031
2020,3,state,jharkhand,5368,1349934
2020,4,state,jharkhand,3659,2857024
2021,1,state,jharkhand,4879,3274851
2021,2,state,jharkhand,5180,5084230
2021,3,state,jharkhand,6794,7046048
2021,4,state,jharkhand,8465,11190423
2022,1,state,jharkhand,9373,13819466
2022,2,state,jharkhand,9477,13464840
2022,3,state,jharkhand,14388,18156857
2022,4,state,jharkhand,16779,23147805
2023,1,state,jharkhand,16108,23823406
2023,2,state,jharkhand,16662,23216215
2023,3,state,jharkhand,19478,25165702
2023,4,state,jharkhand,22398,33484644
2024,1,state,jharkhand,24824,34332990
2024,2,state,jharkhand,22224,32245129
2024,3,state,jharkhand,23629,34353146
2024,4,state,jharkhand,29079,42253614
2020,2,state,karnataka,27358,4794150
2020,3,state,karnataka,53701,12407394
2020,4,state,karnataka,31747,26814968
2021,1,state,karnataka,37595,30183325
2021,2,state,karnataka,40969,39501006
2021,3,state,karnataka,47468,48078366
2021,4,state,karnataka,74436,90723288
2022,1,state,karnataka,95640,130733580
2022,2,state,karnataka,93385,123228632
2022,3,state,karnataka,110273,144605784
2022,4,state,karnataka,133971,185063287
2023,1,state,karnataka,127376,186543426
2023,2,state,karnataka,117232,175704013
2023,3,state,karnataka,139699,199448538
2023,4,state,karnataka,156076,248056311
2024,1,state,karnataka,169357,264708700
2024,2,state,karnataka,142599,239304982
2024,3,state,karnataka,174990,287393291
2024,4,state,karnataka,183532,305861806
2020,2,state,kerala,1588,360216
2020,3,state,kerala,8811,2830361
2020,4,state,kerala,5479,4445525
2021,1,state,kerala,5731,5040506
2021,2,state,kerala,9530,9676588
2021,3,state,kerala,10926,13255646
2021,4,state,kerala,19199,31260319
2022,1,state,kerala,37110,64172190
2022,2,state,kerala,35667,59920203
2022,3,state,kerala,54587,85390924
